0.000000000000000000e+00	8.009999999999999787e+00	8.000000000000000000e+00	8.000000000000000000e+00	8.000000000000000000e+00	8.000000000000000000e+00
6.250000000000000347e-03	8.009936965283765531e+00	7.999974914794696801e+00	7.999503376937160404e+00	8.000013126828186216e+00	8.000509280086239627e+00
1.250000000000000069e-02	8.009870544959202476e+00	7.999899521322673124e+00	7.999014389158331184e+00	8.000054448683915354e+00	8.001036750923464780e+00
1.875000000000000278e-02	8.009796806616552800e+00	7.999773671637358419e+00	7.998534729980239177e+00	8.000127146259888633e+00	8.001581617193670226e+00
2.500000000000000139e-02	8.009711411513650958e+00	7.999597344534683963e+00	7.998066538473304732e+00	8.000234563220706363e+00	8.002142753678725740e+00
3.125000000000000000e-02	8.009610217536000221e+00	7.999370710215994329e+00	7.997612186657123701e+00	8.000379684190946250e+00	8.002718772596452368e+00
3.750000000000000555e-02	8.009488864241109951e+00	7.999094137546952865e+00	7.997174441546838430e+00	8.000565470227769538e+00	8.003307933603247548e+00
4.375000000000000416e-02	8.009342902177637669e+00	7.998768236301607715e+00	7.996756406275838280e+00	8.000794743835264455e+00	8.003908146212936003e+00
5.000000000000000278e-02	8.009167816911361371e+00	7.998393887689362103e+00	7.996361510085219670e+00	8.001070158239057761e+00	8.004516955949895873e+00
5.625000000000000139e-02	8.008959011383662840e+00	7.997972290955376984e+00	7.995993574935187809e+00	8.001394170218324220e+00	8.005131475810701502e+00
6.250000000000000000e-02	8.008711910114946875e+00	7.997504991714074585e+00	7.995656682135535043e+00	8.001768982916726003e+00	8.005748444450645707e+00
6.875000000000000555e-02	8.008421909422814622e+00	7.996993915277668563e+00	7.995355277011354289e+00	8.002196539225336025e+00	8.006364144391113769e+00
7.500000000000001110e-02	8.008084484157899752e+00	7.996441392425089667e+00	7.995094034129284211e+00	8.002678463452745916e+00	8.006974462722720176e+00
8.125000000000000278e-02	8.007695160306287363e+00	7.995850180267358276e+00	7.994877922745381227e+00	8.003216052303221417e+00	8.007574841082979233e+00
8.750000000000000833e-02	8.007249607528827084e+00	7.995223534039207713e+00	7.994712144291649558e+00	8.003810181836644944e+00	8.008160266789790427e+00
9.375000000000000000e-02	8.006743671652241545e+00	7.994565216517455220e+00	7.994602103178557684e+00	8.004461283486463685e+00	8.008725284043455517e+00
1.000000000000000056e-01	8.006173383511640651e+00	7.993879507158495379e+00	7.994553402546281440e+00	8.005169333572673906e+00	8.009263990673357370e+00
1.062500000000000111e-01	8.005535072371339211e+00	7.993171261216859946e+00	7.994571760504014080e+00	8.005933751401085985e+00	8.009770051048995754e+00
1.125000000000000028e-01	8.004825379116281781e+00	7.992445917457162707e+00	7.994663000774251849e+00	8.006753386981410259e+00	8.010236696790791200e+00
1.187500000000000083e-01	8.004041284523056632e+00	7.991709508456846578e+00	7.994833029347761411e+00	8.007626498186569464e+00	8.010656734320408034e+00
1.250000000000000000e-01	8.003180257577538370e+00	7.990968682898464515e+00	7.995087697378862046e+00	8.008550647256067023e+00	8.011022614488592097e+00
1.312500000000000056e-01	8.002240292201792116e+00	7.990230769496862173e+00	7.995432795974678264e+00	8.009522643928896457e+00	8.011326393997702411e+00
1.375000000000000111e-01	8.001219942196867052e+00	7.989503720842590972e+00	7.995873992644605188e+00	8.010538554237012221e+00	8.011559811191339975e+00
1.437500000000000167e-01	8.000118372071879591e+00	7.988796096028509375e+00	7.996416771374457610e+00	8.011593678622107362e+00	8.011714334243693614e+00
1.500000000000000222e-01	7.998935467906338026e+00	7.988117144258107594e+00	7.997066363036700487e+00	8.012682438907027915e+00	8.011781149127514823e+00
1.562500000000000000e-01	7.997671905609649023e+00	7.987476709460064050e+00	7.997827623901498484e+00	8.013798390206707367e+00	8.011751295887879820e+00
1.625000000000000056e-01	7.996329208080554807e+00	7.986885277368036995e+00	7.998705003811874548e+00	8.014934159397069990e+00	8.011615657717916505e+00
1.687500000000000111e-01	7.994909820599978900e+00	7.986353931163289843e+00	7.999702443310915179e+00	8.016081424726172244e+00	8.011365052824249489e+00
1.750000000000000167e-01	7.993417192133065008e+00	7.985894273827550016e+00	8.000823245372064463e+00	8.017230910910109642e+00	8.010990363467216824e+00
1.812500000000000222e-01	7.991855834262027614e+00	7.985518480071524650e+00	8.002070045894928541e+00	8.018372323425555948e+00	8.010482520292994124e+00
1.875000000000000000e-01	7.990231387760569959e+00	7.985239153558041814e+00	8.003444659070666489e+00	8.019494390282686069e+00	8.009832690632858743e+00
1.937500000000000056e-01	7.988550695528664036e+00	7.985069328454399873e+00	8.004948004632806757e+00	8.020584816691656016e+00	8.009032321912718189e+00
2.000000000000000111e-01	7.986821863569796953e+00	7.985022412813018278e+00	8.006580010222942079e+00	8.021630281240666349e+00	8.008073238319967757e+00
2.062500000000000167e-01	7.985054297776478016e+00	7.985112015687460207e+00	8.008339464260059160e+00	8.022616515261152159e+00	8.006947843745258808e+00
2.125000000000000222e-01	7.983258794243112355e+00	7.985351992127491805e+00	8.010223954612577302e+00	8.023528220524175580e+00	8.005649130110780831e+00
2.187500000000000000e-01	7.981447538220306726e+00	7.985756236408343867e+00	8.012229734264028735e+00	8.024349193473080177e+00	8.004170894124918334e+00
2.250000000000000056e-01	7.979634159119502357e+00	7.986338602676246623e+00	8.014351615197234935e+00	8.025062338403099460e+00	8.002507854030534773e+00
2.312500000000000111e-01	7.977833789452668078e+00	7.987112846902297392e+00	8.016582871785562503e+00	8.025649665926161802e+00	8.000655746396072132e+00
